raw_name,name_ja
absorb,すいとる
acid,ようかいえき
acid armor,とける
aerial ace,つばめがえし
aeroblast,エアロブラスト
agility,こうそくいどう
air cutter,エアカッター
amnesia,ドわすれ
ancient power,げんしのちから
arm thrust,つっぱり
aromatherapy,アロマセラピー
assist,ねこのて
astonish,おどろかす
attract,メロメロ
aurora beam,オーロラビーム
barrage,たまなげ
barrier,バリアー
baton pass,バトンタッチ
beat up,ふくろだたき
belly drum,はらだいこ
bide,がまん
bind,しめつける
bite,かみつく
blaze kick,ブレイズキック
blizzard,ふぶき
block,とおせんぼう
body slam,のしかかり
bone club,ホネこんぼう
bone rush,ボーンラッシュ
bonemerang,ホネブーメラン
bounce,とびはねる
brick break,かわらわり
bubble,あわ
bubble beam,バブルこうせん
bulk up,ビルドアップ
bullet seed,タネマシンガン
calm mind,めいそう
camouflage,ほごしょく
charge,じゅうでん
charm,あまえる
clamp,からではさむ
comet punch,れんぞくパンチ
confuse ray,あやしいひかり
confusion,ねんりき
constrict,からみつく
conversion,テクスチャー
conversion 2,テクスチャー２
cosmic power,コスモパワー
cotton spore,わたほうし
counter,カウンター
covet,ほしがる
crabhammer,クラブハンマー
cross chop,クロスチョップ
crunch,かみくだく
crush claw,ブレイククロー
curse,のろい
cut,いあいぎり
defense curl,まるくなる
destiny bond,みちづれ
detect,みきり
dig,あなをほる
disable,かなしばり
dive,ダイビング
dizzy punch,ピヨピヨパンチ
doom desire,はめつのねがい
double edge,すてみタックル
double kick,にどげり
double slap,おうふくビンタ
double team,かげぶんしん
dragon breath,りゅうのいぶき
dragon claw,ドラゴンクロー
dragon dance,りゅうのまい
dragon rage,りゅうのいかり
dream eater,ゆめくい
drill peck,ドリルくちばし
dynamic punch,ばくれつパンチ
earthquake,じしん
egg bomb,タマゴばくだん
ember,ひのこ
encore,アンコール
endeavor,がむしゃら
endure,こらえる
eruption,ふんか
explosion,だいばくはつ
extrasensory,じんつうりき
extreme speed,しんそく
facade,からげんき
fake out,ねこだまし
fake tears,うそなき
false swipe,みねうち
feather dance,フェザーダンス
feint attack,だましうち
