location_id,pokemon_id,method,rate,min_level,max_level,postgame_only
pallet_town_area,1,もらう,100%,5,5,false
pallet_town_area,4,もらう,100%,5,5,false
pallet_town_area,7,もらう,100%,5,5,false
kanto_route_2_south_towards_viridian_city,10,くさむら,4%,4,4,false
kanto_route_2_south_towards_viridian_city,10,くさむら,1%,5,5,false
kanto_route_24_area,10,くさむら,20%,7,7,false
kanto_route_25_area,10,くさむら,20%,8,8,false
viridian_forest_area,10,くさむら,20%,4,4,false
viridian_forest_area,10,くさむら,10%,5,5,false
viridian_forest_area,10,くさむら,10%,3,3,false
pattern_bush_area,10,くさむら,10%,6,6,false
kanto_route_24_area,11,くさむら,1%,8,8,false
kanto_route_25_area,11,くさむら,1%,9,9,false
viridian_forest_area,11,くさむら,5%,5,5,false
pattern_bush_area,11,くさむら,5%,9,9,false
kanto_route_2_south_towards_viridian_city,13,くさむら,4%,4,4,false
kanto_route_2_south_towards_viridian_city,13,くさむら,1%,5,5,false
kanto_route_24_area,13,くさむら,20%,7,7,false
kanto_route_25_area,13,くさむら,20%,8,8,false
viridian_forest_area,13,くさむら,20%,4,4,false
viridian_forest_area,13,くさむら,10%,5,5,false
viridian_forest_area,13,くさむら,10%,3,3,false
pattern_bush_area,13,くさむら,10%,6,6,false
kanto_route_24_area,14,くさむら,4%,8,8,false
kanto_route_25_area,14,くさむら,4%,9,9,false
viridian_forest_area,14,くさむら,5%,5,5,false
viridian_forest_area,14,くさむら,4%,4,4,false
viridian_forest_area,14,くさむら,1%,6,6,false
pattern_bush_area,14,くさむら,20%,9,9,false
kanto_route_12_area,16,くさむら,10%,23,23,false
kanto_route_12_area,16,くさむら,10%,25,25,false
kanto_route_12_area,16,くさむら,5%,27,27,false
kanto_route_12_area,16,くさむら,4%,23,23,false
kanto_route_12_area,16,くさむら,1%,23,23,false
kanto_route_1_area,16,くさむら,20%,3,3,false
kanto_route_1_area,16,くさむら,10%,3,3,false
kanto_route_1_area,16,くさむら,10%,2,2,false
kanto_route_1_area,16,くさむら,5%,3,3,false
kanto_route_1_area,16,くさむら,4%,4,4,false
kanto_route_1_area,16,くさむら,1%,5,5,false
kanto_route_2_south_towards_viridian_city,16,くさむら,20%,3,3,false
kanto_route_2_south_towards_viridian_city,16,くさむら,10%,4,4,false
kanto_route_2_south_towards_viridian_city,16,くさむら,10%,2,2,false
kanto_route_2_south_towards_viridian_city,16,くさむら,5%,5,5,false
kanto_route_3_area,16,くさむら,20%,6,6,false
kanto_route_3_area,16,くさむら,10%,7,7,false
kanto_route_5_area,16,くさむら,20%,13,13,false
kanto_route_5_area,16,くさむら,10%,15,15,false
kanto_route_5_area,16,くさむら,5%,16,16,false
kanto_route_5_area,16,くさむら,4%,15,15,false
kanto_route_5_area,16,くさむら,1%,15,15,false
kanto_route_6_area,16,くさむら,20%,13,13,false
kanto_route_6_area,16,くさむら,10%,15,15,false
kanto_route_6_area,16,くさむら,5%,16,16,false
kanto_route_6_area,16,くさむら,4%,15,15,false
kanto_route_6_area,16,くさむら,1%,15,15,false
kanto_route_7_area,16,くさむら,20%,19,19,false
kanto_route_7_area,16,くさむら,10%,22,22,false
kanto_route_8_area,16,くさむら,20%,18,18,false
kanto_route_8_area,16,くさむら,10%,20,20,false
kanto_route_13_area,16,くさむら,10%,27,27,false
kanto_route_13_area,16,くさむら,10%,25,25,false
kanto_route_14_area,16,くさむら,10%,27,27,false
kanto_route_15_area,16,くさむら,10%,27,27,false
kanto_route_15_area,16,くさむら,10%,25,25,false
kanto_route_24_area,16,くさむら,10%,11,11,false
kanto_route_24_area,16,くさむら,5%,13,13,false
kanto_route_25_area,16,くさむら,10%,13,13,false
kanto_route_25_area,16,くさむら,5%,11,11,false
berry_forest_area,16,くさむら,10%,32,32,false
bond_bridge_area,16,くさむら,20%,32,32,false
bond_bridge_area,16,くさむら,10%,29,29,false
five_isle_meadow_area,16,くさむら,20%,44,44,false
kanto_route_13_area,17,くさむら,4%,29,29,false
kanto_route_13_area,17,くさむら,1%,29,29,false
kanto_route_14_area,17,くさむら,4%,29,29,false
kanto_route_14_area,17,くさむら,1%,29,29,false
kanto_route_15_area,17,くさむら,4%,29,29,false
kanto_route_15_area,17,くさむら,1%,29,29,false
berry_forest_area,17,くさむら,20%,37,37,false
bond_bridge_area,17,くさむら,10%,34,34,false
bond_bridge_area,17,くさむら,4%,37,37,false
bond_bridge_area,17,くさむら,1%,40,40,false
five_isle_meadow_area,17,くさむら,10%,48,48,false
five_isle_meadow_area,17,くさむら,4%,50,50,false
five_isle_meadow_area,17,くさむら,1%,50,50,false
kanto_route_1_area,19,くさむら,20%,3,3,false
kanto_route_1_area,19,くさむら,10%,3,3,false
kanto_route_1_area,19,くさむら,10%,2,2,false
kanto_route_1_area,19,くさむら,5%,3,3,false
kanto_route_1_area,19,くさむら,4%,4,4,false
kanto_route_1_area,19,くさむら,1%,4,4,false
kanto_route_2_south_towards_viridian_city,19,くさむら,20%,3,3,false
kanto_route_2_south_towards_viridian_city,19,くさむら,10%,4,4,false
kanto_route_2_south_towards_viridian_city,19,くさむら,10%,2,2,false
kanto_route_2_south_towards_viridian_city,19,くさむら,5%,5,5,false
kanto_route_4_area,19,くさむら,20%,10,10,false
kanto_route_4_area,19,くさむら,10%,8,8,false
kanto_route_4_area,19,くさむら,5%,12,12,false
kanto_route_9_area,19,くさむら,20%,16,16,false
kanto_route_9_area,19,くさむら,10%,14,14,false
kanto_route_9_area,19,くさむら,5%,17,17,false
kanto_route_9_area,19,くさむら,4%,14,14,false
kanto_route_9_area,19,くさむら,1%,14,14,false
kanto_route_16_area,19,くさむら,10%,18,18,false
kanto_route_16_area,19,くさむら,10%,20,20,false
kanto_route_16_area,19,くさむら,5%,22,22,false
kanto_route_16_area,19,くさむら,4%,18,18,false
kanto_route_16_area,19,くさむら,1%,18,18,false
kanto_route_17_area,19,くさむら,4%,22,22,false
kanto_route_17_area,19,くさむら,1%,22,22,false
kanto_route_18_area,19,くさむら,4%,22,22,false
kanto_route_18_area,19,くさむら,1%,22,22,false
kanto_route_22_area,19,くさむら,20%,3,3,false
kanto_route_22_area,19,くさむら,10%,4,4,false
kanto_route_22_area,19,くさむら,10%,2,2,false
kanto_route_22_area,19,くさむら,4%,5,5,false
kanto_route_22_area,19,くさむら,1%,5,5,false
pokemon_mansion_1f,19,くさむら,10%,28,28,false
pokemon_mansion_1f,19,くさむら,4%,26,26,false
pokemon_mansion_1f,19,くさむら,1%,26,26,false
pokemon_mansion_2f,19,くさむら,10%,28,28,false
pokemon_mansion_2f,19,くさむら,4%,26,26,false
pokemon_mansion_2f,19,くさむら,1%,26,26,false
pokemon_mansion_3f,19,くさむら,10%,28,28,false
pokemon_mansion_3f,19,くさむら,4%,26,26,false
pokemon_mansion_3f,19,くさむら,1%,26,26,false
pokemon_mansion_b1f,19,くさむら,4%,26,26,false
pokemon_mansion_b1f,19,くさむら,1%,26,26,false
kanto_route_16_area,20,くさむら,4%,23,23,false
kanto_route_16_area,20,くさむら,1%,25,25,false
kanto_route_17_area,20,くさむら,10%,25,25,false
kanto_route_17_area,20,くさむら,10%,27,27,false
kanto_route_17_area,20,くさむら,5%,29,29,false
kanto_route_18_area,20,くさむら,10%,25,25,false
kanto_route_18_area,20,くさむら,5%,29,29,false
pokemon_mansion_1f,20,くさむら,20%,32,32,false
pokemon_mansion_1f,20,くさむら,10%,36,36,false
pokemon_mansion_2f,20,くさむら,20%,32,32,false
pokemon_mansion_2f,20,くさむら,10%,36,36,false
pokemon_mansion_3f,20,くさむら,20%,32,32,false
pokemon_mansion_3f,20,くさむら,10%,36,36,false
pokemon_mansion_b1f,20,くさむら,20%,34,34,false
pokemon_mansion_b1f,20,くさむら,10%,38,38,false
kanto_route_3_area,21,くさむら,20%,6,6,false
kanto_route_3_area,21,くさむら,10%,7,7,false
kanto_route_3_area,21,くさむら,5%,8,8,false
kanto_route_4_area,21,くさむら,20%,10,10,false
kanto_route_4_area,21,くさむら,10%,8,8,false
kanto_route_4_area,21,くさむら,5%,12,12,false
kanto_route_9_area,21,くさむら,20%,16,16,false
kanto_route_9_area,21,くさむら,10%,13,13,false
kanto_route_9_area,21,くさむら,5%,17,17,false
kanto_route_10_area,21,くさむら,20%,16,16,false
kanto_route_10_area,21,くさむら,10%,13,13,false
kanto_route_10_area,21,くさむら,5%,17,17,false
