pokemon_id,sort_order,level,move
1,20,1,tackle
1,30,4,growl
1,40,7,leech seed
1,10,10,vine whip
1,80,15,poison powder
1,90,15,sleep powder
1,60,20,razor leaf
1,100,25,sweet scent
1,50,32,growth
1,110,39,synthesis
1,70,46,solar beam
2,20,1,tackle
2,30,1,growl
2,50,1,leech seed
2,40,4,growl
2,60,7,leech seed
2,10,10,vine whip
2,100,15,poison powder
2,110,15,sleep powder
2,80,22,razor leaf
2,120,29,sweet scent
2,70,38,growth
2,130,47,synthesis
2,90,56,solar beam
3,10,1,vine whip
3,30,1,tackle
3,40,1,growl
3,60,1,leech seed
3,50,4,growl
3,70,7,leech seed
3,20,10,vine whip
3,110,15,poison powder
3,120,15,sleep powder
3,90,22,razor leaf
3,130,29,sweet scent
3,80,41,growth
3,140,53,synthesis
3,100,65,solar beam
4,10,1,scratch
4,20,1,growl
4,30,7,ember
4,100,13,metal claw
4,70,19,smokescreen
4,90,25,scary face
4,40,31,flamethrower
4,80,37,slash
4,50,43,dragon rage
4,60,49,fire spin
5,10,1,scratch
5,20,1,growl
5,30,1,ember
5,40,7,ember
5,110,13,metal claw
5,80,20,smokescreen
5,100,27,scary face
5,50,34,flamethrower
5,90,41,slash
5,60,48,dragon rage
5,70,55,fire spin
6,10,1,scratch
6,30,1,growl
6,40,1,ember
6,120,1,metal claw
6,140,1,heat wave
6,50,7,ember
6,130,13,metal claw
6,90,20,smokescreen
6,110,27,scary face
6,60,34,flamethrower
6,20,36,wing attack
6,100,44,slash
6,70,54,dragon rage
6,80,64,fire spin
7,10,1,tackle
7,20,4,tail whip
7,80,7,bubble
7,60,10,withdraw
7,40,13,water gun
7,30,18,bite
7,100,23,rapid spin
7,90,28,protect
7,110,33,rain dance
7,70,40,skull bash
7,50,47,hydro pump
8,10,1,tackle
8,20,1,tail whip
8,90,1,bubble
8,30,4,tail whip
8,100,7,bubble
8,70,10,withdraw
8,50,13,water gun
8,40,19,bite
8,120,25,rapid spin
8,110,31,protect
8,130,37,rain dance
8,80,45,skull bash
8,60,53,hydro pump
9,10,1,tackle
9,20,1,tail whip
9,70,1,withdraw
9,100,1,bubble
9,30,4,tail whip
9,110,7,bubble
9,80,10,withdraw
9,50,13,water gun
9,40,19,bite
9,130,25,rapid spin
9,120,31,protect
9,140,42,rain dance
9,90,55,skull bash
9,60,68,hydro pump
10,10,1,tackle
10,20,1,string shot
11,10,1,harden
11,20,7,harden
12,80,1,confusion
12,90,10,confusion
12,50,13,poison powder
12,60,14,stun spore
12,70,15,sleep powder
12,30,18,supersonic
12,20,23,whirlwind
12,10,28,gust
12,40,34,psybeam
12,100,40,safeguard
12,110,47,silver wind
13,10,1,poison sting
13,20,1,string shot
14,10,1,harden
