location_id,name,order,postgame_only
abandoned_ship_area,Abandoned Ship,9999,false
abundant_shrine_area,Abundant Shrine,9999,false
acuity_lakefront_area,Acuity Lakefront,9999,false
agate_village_relic_forest,Agate Village (Relic Forest),9999,false
hoenn_altering_cave_a,Altering Cave (A),9999,false
kanto_altering_cave_a,Altering Cave (A),9999,false
hoenn_altering_cave_b,Altering Cave (B),9999,false
kanto_altering_cave_b,Altering Cave (B),9999,false
hoenn_altering_cave_c,Altering Cave (C),9999,false
kanto_altering_cave_c,Altering Cave (C),9999,false
hoenn_altering_cave_d,Altering Cave (D),9999,false
kanto_altering_cave_d,Altering Cave (D),9999,false
hoenn_altering_cave_e,Altering Cave (E),9999,false
kanto_altering_cave_e,Altering Cave (E),9999,false
hoenn_altering_cave_f,Altering Cave (F),9999,false
kanto_altering_cave_f,Altering Cave (F),9999,false
hoenn_altering_cave_g,Altering Cave (G),9999,false
kanto_altering_cave_g,Altering Cave (G),9999,false
hoenn_altering_cave_h,Altering Cave (H),9999,false
kanto_altering_cave_h,Altering Cave (H),9999,false
hoenn_altering_cave_i,Altering Cave (I),9999,false
kanto_altering_cave_i,Altering Cave (I),9999,false
ambrette_town_area,Ambrette Town,9999,false
ancient_tomb_area,Ancient Tomb,9999,false
artisan_cave_area,Artisan Cave,9999,false
aspertia_city_area,Aspertia City,9999,false
azalea_town_area,Azalea Town,9999,false
azure_bay_area,Azure Bay,9999,false
battle_resort_area,Battle Resort,9999,false
bell_tower_10f,Bell Tower (10F),9999,false
bell_tower_1f,Bell Tower (1F),9999,false
bell_tower_2f,Bell Tower (2F),9999,false
bell_tower_3f,Bell Tower (3F),9999,false
bell_tower_4f,Bell Tower (4F),9999,false
bell_tower_5f,Bell Tower (5F),9999,false
bell_tower_6f,Bell Tower (6F),9999,false
bell_tower_7f,Bell Tower (7F),9999,false
bell_tower_8f,Bell Tower (8F),9999,false
bell_tower_9f,Bell Tower (9F),9999,false
bell_tower_roof,Bell Tower (roof),9999,false
berry_forest_area,Berry Forest,9999,false
birth_island_area,Birth Island,9999,false
blackthorn_city_area,Blackthorn City,9999,false
bond_bridge_area,Bond Bridge,9999,false
burned_tower_1f,Burned Tower (1F),9999,false
burned_tower_b1f,Burned Tower (B1F),9999,false
canalave_city_area,Canalave City,9999,false
canyon_entrance_area,Canyon Entrance,9999,false
cape_brink_area,Cape Brink,9999,false
castelia_city_area,Castelia City,9999,false
castelia_sewers_area,Castelia Sewers,9999,false
castelia_sewers_unknown_area_38,Castelia Sewers (unknown area 38),9999,false
pokespot_cave,Cave Pokespot ,9999,false
cave_of_origin_1f,Cave of Origin (1F),9999,false
cave_of_origin_b1f,Cave of Origin (B1F),9999,false
cave_of_origin_b2f,Cave of Origin (B2F),9999,false
cave_of_origin_b3f,Cave of Origin (B3F),9999,false
cave_of_origin_b4f,Cave of Origin (B4F),9999,false
cave_of_origin_entrance,Cave of Origin (entrance),9999,false
celadon_city_area,Celadon City,9999,false
celadon_city_prize_corner,Celadon City Prize Corner,9999,false
celadon_city_celadon_mansion,Celadon Mansion rooftop,9999,false
celestial_tower_3f,Celestial Tower (3F),9999,false
celestial_tower_4f,Celestial Tower (4F),9999,false
celestial_tower_5f,Celestial Tower (5F),9999,false
celestic_town_area,Celestic Town,9999,false
cerulean_cave_1f,Cerulean Cave (1F),9999,false
cerulean_cave_2f,Cerulean Cave (2F),9999,false
cerulean_cave_b1f,Cerulean Cave (B1F),9999,false
cerulean_city_area,Cerulean City,9999,false
challengers_cave_1f,Challengers Cave (1F),9999,false
challengers_cave_b1f,Challengers Cave (B1F),9999,false
challengers_cave_b2f,Challengers Cave (B2F),9999,false
chargestone_cave_1f,Chargestone Cave (1F),9999,false
chargestone_cave_b1f,Chargestone Cave (B1F),9999,false
chargestone_cave_b2f,Chargestone Cave (B2F),9999,false
cherrygrove_city_area,Cherrygrove City,9999,false
cianwood_city_area,Cianwood City,9999,false
cianwood_city_kirks_house,Cianwood City (Kirk's house),9999,false
cianwood_city_manias_house,Cianwood City (Mania's house),9999,false
cinnabar_island_area,Cinnabar Island,9999,false
cinnabar_island_cinnabar_lab,Cinnabar Lab (Cinnabar Island),9999,false
cipher_key_lair_outside,Cipher Key Lair (Outside),9999,false
cipher_key_lair_1f,Cipher Key Lair 1F,9999,false
cipher_key_lair_2f,Cipher Key Lair 2F,9999,false
cipher_key_lair_3f,Cipher Key Lair 3F,9999,false
cipher_key_lair_4f,Cipher Key Lair 4F,9999,false
cipher_key_lair_5f,Cipher Key Lair 5F,9999,false
cipher_key_lair_roof,Cipher Key Lair Roof,9999,false
cipher_lab_outside,Cipher Lab (Outside),9999,false
cipher_lab_bf1,Cipher Lab B1F,9999,false
cipher_lab_bf2,Cipher Lab B2F,9999,false
citadark_isle_outside,Citadark Isle (Outside),9999,false
citadark_isle_1f,Citadark Isle 1F,9999,false
citadark_isle_2f,Citadark Isle 2F,9999,false
citadark_isle_3f,Citadark Isle 3F,9999,false
citadark_isle_6f,Citadark Isle 6F,9999,false
citadark_isle_bf1,Citadark Isle B1F,9999,false
citadark_isle_dome_1f,Citadark Isle Dome 1F,9999,false
citadark_isle_dome_2f,Citadark Isle Dome 2F,9999,false
citadark_isle_dome_bf1,Citadark Isle Dome B1F,9999,false
citadark_isle_dome_exterior,Citadark Isle Dome Exterior,9999,false
clay_tunnel_area,Clay Tunnel,9999,false
connecting_cave_area,Connecting Cave,9999,false
fallarbor_town_contest_hall,Contest Hall (Fallarbor Town),9999,false
lilycove_city_contest_hall,Contest Hall (Lilycove City),9999,false
slateport_city_contest_hall,Contest Hall (Slateport City),9999,false
verdanturf_town_contest_hall,Contest Hall (Verdanturf Town),9999,false
couriway_town_area,Couriway Town,9999,false
cyllage_city_area,Cyllage City,9999,false
dark_cave_blackthorn_city_entrance,Dark Cave (Blackthorn City entrance),9999,false
dark_cave_violet_city_entrance,Dark Cave (Violet City entrance),9999,false
desert_resort_area,Desert Resort,9999,false
desert_resort_entrance,Desert Resort (entrance),9999,false
desert_ruins_area,Desert Ruins,9999,false
desert_underpass_area,Desert Underpass,9999,false
dewford_town_area,Dewford Town,9999,false
digletts_cave_area,Digletts Cave,9999,false
dilford_chamber_area,Dilford Chamber,9999,false
dividing_peak_tunnel,Dividing Peak Tunnel,9999,false
dragons_den_area,Dragon's Den,9999,false
dragonspiral_tower_outside,Dragonspiral Tower (outside),9999,false
dreamyard_area,Dreamyard,9999,false
dreamyard_b1f,Dreamyard (B1F),9999,false
driftveil_city_area,Driftveil City,9999,false
ecruteak_city_area,Ecruteak City,9999,false
embedded_tower_groundon_room,Embedded Tower (Groudon’s room),9999,false
embedded_tower_kyogre_room,Embedded Tower (Kyogre’s room),9999,false
embedded_tower_rayquaza_room,Embedded Tower (Rayquaza’s room),9999,false
eterna_city_area,Eterna City,9999,false
eterna_city_west_gate,Eterna City (west gate),9999,false
eterna_forest_area,Eterna Forest,9999,false
ever_grande_city_area,Ever Grande City,9999,false
faraway_island_area,Faraway Island,9999,false
fiery_path_area,Fiery Path,9999,false
saffron_city_fighting_dojo,Fighting Dojo,9999,false
five_island_area,Five Island,9999,false
five_isle_meadow_area,Five Isle Meadow,9999,false
floccesy_ranch_inner,Floccesy Ranch (inner),9999,false
floccesy_ranch_outer,Floccesy Ranch (outer),9999,false
floccesy_town_area,Floccesy Town,9999,false
four_island_area,Four Island,9999,false
frost_cavern_unknown_area_313,Frost Cavern (unknown area 313),9999,false
frost_cavern_unknown_area_314,Frost Cavern (unknown area 314),9999,false
frost_cavern_unknown_area_315,Frost Cavern (unknown area 315),9999,false
frost_cavern_unknown_area_316,Frost Cavern (unknown area 316),9999,false
frost_cavern_unknown_area_317,Frost Cavern (unknown area 317),9999,false
fuchsia_city_area,Fuchsia City,9999,false
fuego_ironworks_area,Fuego Ironworks,9999,false
gateon_port_across_bridge,Gateon Port (Across Bridge),9999,false
gateon_port_lighthouse_top,Gateon Port (Lighthouse Top),9999,false
giant_chasm_area,Giant Chasm,9999,false
giant_chasm_forest_cave,Giant Chasm (forest cave),9999,false
giant_chasm_forest,Giant Chasm (forest),9999,false
giant_chasm_outside,Giant Chasm (outside),9999,false
glacier_room_area,Glacier Room,9999,false
glittering_cave_unknown_area_303,Glittering Cave (unknown area 303),9999,false
glittering_cave_unknown_area_304,Glittering Cave (unknown area 304),9999,false
goldenrod_city_bills_house,Goldenrod City (Bill's house),9999,false
goldenrod_city_north_gate,Goldenrod City (north gate),9999,false
goldenrod_city_game_corner,Goldenrod City Game Corner,9999,false
granite_cave_1f,Granite Cave (1F),9999,false
granite_cave_1fsmall_room,Granite Cave (1F/small room),9999,false
granite_cave_b1f,Granite Cave (B1F),9999,false
granite_cave_b2f,Granite Cave (B2F),9999,false
great_marsh_area_1,Great Marsh Area 1,9999,false
great_marsh_area_2,Great Marsh Area 2,9999,false
great_marsh_area_3,Great Marsh Area 3,9999,false
great_marsh_area_4,Great Marsh Area 4,9999,false
great_marsh_area_5,Great Marsh Area 5,9999,false
great_marsh_area_6,Great Marsh Area 6,9999,false
green_path_area,Green Path,9999,false
guidance_chamber_area,Guidance Chamber,9999,false
hauoli_city,Hau'oli City,9999,false
heahea_beach,Heahea Beach,9999,false
hearthome_city_area,Hearthome City,9999,false
hoenn_battle_frontier_area,Hoenn Battle Frontier,9999,false
humilau_city_area,Humilau City,9999,false
ice_path_1f,Ice Path (1F),9999,false
ice_path_b1f,Ice Path (B1F),9999,false
ice_path_b2f,Ice Path (B2F),9999,false
ice_path_b3f,Ice Path (B3F),9999,false
icefall_cave_1f,Icefall Cave (1F),9999,false
icefall_cave_b1f,Icefall Cave (B1F),9999,false
icefall_cave_entrance,Icefall Cave (entrance),9999,false
icefall_cave_waterfall,Icefall Cave (waterfall),9999,false
icirrus_city_area,Icirrus City,9999,false
ilex_forest_area,Ilex Forest,9999,false
iron_island_1f,Iron Island (1F),9999,false
iron_island_b1f_left,Iron Island (B1F left),9999,false
iron_island_b1f_right,Iron Island (B1F right),9999,false
iron_island_b2f_left,Iron Island (B2F left),9999,false
iron_island_b2f_right,Iron Island (B2F right),9999,false
iron_island_b3f,Iron Island (B3F),9999,false
iron_island_area,Iron Island area,9999,false
iron_room_area,Iron Room,9999,false
island_cave_area,Island Cave,9999,false
jagged_pass_area,Jagged Pass,9999,false
kindle_road_area,Kindle Road,9999,false
lake_acuity_area,Lake Acuity,9999,false
lake_valor_area,Lake Valor,9999,false
lake_verity_after_galactic_intervention,Lake Verity (after Galactic intervention),9999,false
lake_verity_before_galactic_intervention,Lake Verity (before Galactic intervention),9999,false
lake_of_rage_area,Lake of Rage,9999,false
lavaridge_town_area,Lavaridge Town,9999,false
laverre_city_area,Laverre City,9999,false
liberty_garden_lighthouse_basement,Lighthouse Basement,9999,false
lilycove_city_area,Lilycove City,9999,false
liptoo_chamber_area,Liptoo Chamber,9999,false
littleroot_town_area,Littleroot Town,9999,false
lost_cave_item_rooms,Lost Cave (item rooms),9999,false
lost_cave_room_1,Lost Cave (room 1),9999,false
lost_cave_room_10,Lost Cave (room 10),9999,false
lost_cave_room_2,Lost Cave (room 2),9999,false
lost_cave_room_3,Lost Cave (room 3),9999,false
