pokemon_id,sort_order,kind,move
1,110,machine,attract
1,190,machine,bullet seed
1,10,machine,cut
1,50,machine,double team
1,170,machine,facade
1,60,machine,flash
1,130,machine,frustration
1,100,machine,giga drain
1,140,machine,hidden power
1,80,machine,protect
1,70,machine,rest
1,120,machine,return
1,160,machine,rock smash
1,180,machine,secret power
1,90,machine,sludge bomb
1,30,machine,solar beam
1,20,machine,strength
1,150,machine,sunny day
1,40,machine,toxic
2,110,machine,attract
2,190,machine,bullet seed
2,10,machine,cut
2,50,machine,double team
2,170,machine,facade
2,60,machine,flash
2,130,machine,frustration
2,100,machine,giga drain
2,140,machine,hidden power
2,80,machine,protect
2,70,machine,rest
2,120,machine,return
2,160,machine,rock smash
2,180,machine,secret power
2,90,machine,sludge bomb
2,30,machine,solar beam
2,20,machine,strength
2,150,machine,sunny day
2,40,machine,toxic
3,140,machine,attract
3,220,machine,bullet seed
3,10,machine,cut
3,80,machine,double team
3,60,machine,earthquake
3,200,machine,facade
3,90,machine,flash
3,160,machine,frustration
3,130,machine,giga drain
3,170,machine,hidden power
3,30,machine,hyper beam
3,110,machine,protect
3,100,machine,rest
3,150,machine,return
3,20,machine,roar
3,190,machine,rock smash
3,210,machine,secret power
3,120,machine,sludge bomb
3,50,machine,solar beam
3,40,machine,strength
3,180,machine,sunny day
3,70,machine,toxic
4,220,machine,aerial ace
4,100,machine,attract
4,190,machine,brick break
4,10,machine,cut
4,40,machine,dig
4,60,machine,double team
4,230,machine,dragon claw
4,170,machine,facade
4,70,machine,fire blast
4,20,machine,flamethrower
4,180,machine,focus punch
4,120,machine,frustration
4,140,machine,hidden power
4,130,machine,iron tail
4,210,machine,overheat
4,90,machine,protect
4,80,machine,rest
4,110,machine,return
4,160,machine,rock smash
4,200,machine,secret power
4,30,machine,strength
4,150,machine,sunny day
4,50,machine,toxic
5,220,machine,aerial ace
5,100,machine,attract
5,190,machine,brick break
5,10,machine,cut
5,40,machine,dig
5,60,machine,double team
5,230,machine,dragon claw
5,170,machine,facade
5,70,machine,fire blast
5,20,machine,flamethrower
5,180,machine,focus punch
5,120,machine,frustration
